%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83708.726,299.778,0.973,10.094,49.562,0.046,-4.216,8.709,0.535,-23.695,36.553,-24.908,-21.038,-16.910,-15.070,-10.317,41.095,30.003,-28.753,-7.732,18.274,-51.449,-5.000,-544.798,-289.718,14.557,-121.316,215.611
83704.698,299.780,0.973,10.095,49.562,0.206,-4.216,9.602,0.214,-23.486,36.661,-25.116,-20.717,-16.482,-14.177,-10.838,41.201,29.896,-28.857,-8.046,17.651,-51.111,-5.000,-544.798,-289.718,14.557,-121.316,215.611
83716.782,299.782,0.973,10.094,49.562,0.206,-4.648,9.490,1.070,-24.217,36.337,-24.286,-21.785,-16.696,-14.624,-10.108,40.778,30.003,-28.857,-8.568,18.274,-50.549,-5.000,-544.798,-289.718,14.557,-121.332,215.611
83724.838,299.782,0.973,10.110,49.720,0.366,-4.972,9.043,0.214,-23.695,36.769,-24.597,-20.931,-17.659,-14.959,-10.212,40.672,30.003,-30.217,-7.941,18.378,-50.999,-5.000,-544.798,-289.718,14.557,-121.332,215.621
83720.810,299.780,0.973,10.094,49.562,0.366,-4.216,8.374,0.856,-23.381,36.986,-24.701,-21.358,-17.231,-15.294,-10.838,41.412,30.109,-30.426,-7.732,18.378,-51.337,-5.000,-544.798,-289.718,14.557,-121.316,215.601
83720.810,299.777,0.973,10.086,49.483,-0.114,-4.972,9.713,0.107,-23.799,36.769,-25.220,-21.038,-16.696,-14.401,-10.525,40.884,30.428,-30.112,-8.046,18.170,-51.449,-5.000,-544.798,-289.718,14.557,-121.300,215.580
83712.754,299.785,0.973,10.094,49.562,-0.114,-4.972,9.490,0.642,-24.321,36.986,-23.974,-21.999,-17.552,-15.070,-10.212,41.201,30.535,-28.962,-9.091,18.378,-50.886,-5.000,-544.798,-289.718,14.557,-121.300,215.601
83708.726,299.783,0.973,10.078,49.404,0.366,-4.972,9.155,0.749,-23.590,36.877,-24.286,-20.931,-17.873,-14.624,-9.900,41.729,31.279,-28.126,-7.941,17.962,-51.449,-5.000,-544.798,-289.718,14.557,-121.300,215.601
83704.698,299.782,0.973,10.071,49.325,0.206,-4.540,8.820,0.963,-23.381,36.986,-24.597,-21.038,-16.910,-15.070,-10.212,41.306,30.428,-27.812,-7.314,18.274,-50.999,-5.000,-544.798,-289.718,14.557,-121.316,215.601
83712.754,299.783,0.973,10.062,49.246,0.366,-4.864,10.383,0.428,-23.277,36.986,-24.286,-20.931,-16.589,-13.954,-10.838,41.201,30.854,-28.753,-7.837,18.170,-51.111,-5.000,-544.798,-289.718,14.557,-121.316,215.611
