%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83744.978,300.473,0.971,9.882,47.406,0.235,-18.268,16.301,7.173,-17.643,35.796,-21.068,-19.647,-15.518,-11.610,-10.629,37.609,23.197,-44.430,-10.867,15.367,-55.952,-7.000,0.023,-23.649,-0.241,-121.365,215.580
83744.978,300.470,0.971,9.849,47.090,-0.085,-17.404,15.742,6.637,-16.912,35.580,-21.483,-19.540,-14.876,-11.498,-9.900,38.454,22.878,-43.593,-9.822,15.367,-55.390,-7.000,0.138,-23.639,-0.242,-121.300,215.570
83732.894,300.466,0.971,9.891,47.485,-0.245,-17.728,16.859,6.102,-17.226,36.337,-22.002,-19.433,-14.876,-11.163,-10.838,38.031,23.623,-43.907,-10.031,14.848,-55.502,-7.000,0.292,-23.608,-0.241,-121.300,215.580
83732.894,300.470,0.971,9.866,47.248,-0.245,-16.971,16.301,7.066,-17.226,35.580,-21.691,-20.501,-15.304,-11.387,-11.359,37.820,24.474,-42.548,-10.972,15.159,-54.264,-7.000,0.484,-23.619,-0.241,-121.349,215.580
83761.089,300.468,0.971,9.872,47.327,0.075,-17.728,15.742,6.744,-16.390,35.796,-21.380,-18.792,-15.304,-11.498,-10.838,37.292,24.900,-43.280,-10.867,15.678,-54.376,-7.000,0.658,-23.568,-0.241,-121.332,215.601
83749.006,300.466,0.971,9.890,47.485,0.075,-16.971,15.407,6.744,-16.808,35.796,-21.587,-19.647,-14.341,-11.387,-11.776,38.771,23.197,-43.698,-11.599,15.574,-54.489,-7.000,0.812,-23.548,-0.241,-121.332,215.590
83740.950,300.471,0.971,9.874,47.327,-0.245,-16.539,16.524,6.209,-16.599,35.904,-22.210,-19.219,-14.555,-10.828,-12.088,38.454,23.623,-44.430,-10.867,15.471,-53.813,-7.000,0.966,-23.527,-0.241,-121.300,215.580
83744.978,300.468,0.971,9.873,47.327,-0.405,-16.755,16.412,7.173,-17.226,35.688,-21.172,-19.753,-14.769,-11.275,-10.004,38.348,23.517,-43.907,-10.972,15.678,-53.363,-7.000,1.100,-23.517,-0.241,-121.332,215.590
83757.062,300.465,0.971,9.864,47.248,-0.245,-16.323,16.189,7.066,-16.704,35.904,-21.795,-19.219,-15.518,-11.163,-10.838,38.665,22.772,-43.698,-8.986,15.574,-53.251,-7.000,1.254,-23.476,-0.242,-121.381,215.590
83732.894,300.462,0.971,9.866,47.248,-0.245,-15.998,15.519,6.851,-17.017,36.553,-21.276,-19.433,-14.341,-11.387,-11.567,38.454,23.517,-43.175,-9.404,15.886,-52.800,-7.000,1.370,-23.456,-0.242,-121.316,215.580
83740.950,300.462,0.971,9.865,47.248,0.075,-16.215,16.412,5.995,-17.226,35.904,-21.899,-19.113,-14.555,-10.270,-11.255,37.609,23.304,-43.384,-9.404,16.301,-52.125,-7.000,1.543,-23.426,-0.244,-121.349,215.590
83749.006,300.468,0.971,9.873,47.327,-0.245,-15.890,16.636,6.851,-17.330,35.796,-21.380,-19.753,-14.662,-11.610,-11.359,37.715,22.984,-43.907,-10.031,16.820,-50.774,-7.000,1.697,-23.385,-0.245,-121.349,215.580
83740.950,300.473,0.971,9.882,47.406,-0.085,-15.674,16.301,6.530,-16.912,35.580,-21.691,-19.433,-15.518,-12.056,-11.359,38.349,22.452,-44.534,-8.777,16.405,-50.999,-7.000,1.832,-23.344,-0.245,-121.332,215.590
83736.922,300.470,0.971,9.899,47.564,-0.085,-14.809,14.961,6.209,-16.808,36.012,-21.691,-19.860,-14.876,-11.387,-12.922,38.666,21.282,-43.489,-8.150,17.236,-50.098,-7.000,2.005,-23.314,-0.248,-121.332,215.580
83736.922,300.468,0.971,9.866,47.248,-0.085,-14.053,16.301,5.674,-17.434,35.688,-22.106,-19.647,-14.769,-10.940,-11.150,36.447,22.452,-44.221,-7.732,16.924,-49.310,-7.000,2.120,-23.293,-0.248,-121.349,215.570
83740.950,300.466,0.971,9.882,47.406,-0.245,-14.161,15.854,6.744,-17.748,35.580,-21.276,-20.180,-14.876,-11.721,-9.691,36.553,22.772,-42.862,-8.359,17.028,-48.522,-7.000,2.255,-23.232,-0.251,-121.365,215.580
83736.922,300.468,0.971,9.882,47.406,-0.405,-14.917,15.854,7.066,-16.912,35.472,-21.691,-19.540,-15.304,-10.828,-10.525,36.342,23.729,-43.175,-7.001,16.924,-49.198,-7.000,2.390,-23.192,-0.253,-121.349,215.590
83736.922,300.470,0.971,9.866,47.248,-0.085,-13.620,15.296,6.209,-17.121,36.121,-21.483,-19.326,-14.662,-11.721,-11.880,37.187,23.517,-41.816,-7.941,17.028,-49.423,-7.000,2.525,-23.151,-0.255,-121.300,215.590
83716.782,300.471,0.971,9.875,47.327,-0.245,-14.485,16.301,5.888,-17.330,35.796,-21.068,-19.006,-14.555,-10.270,-13.756,37.715,24.474,-43.071,-9.927,16.613,-48.522,-7.000,2.679,-23.100,-0.258,-121.316,215.590
83740.950,300.470,0.971,9.882,47.406,-0.085,-14.161,15.966,7.066,-17.536,36.012,-21.172,-19.326,-14.769,-11.052,-12.922,38.032,24.687,-42.757,-11.494,16.405,-48.973,-7.000,2.813,-23.039,-0.260,-121.349,215.580
83749.006,300.466,0.971,9.881,47.406,0.235,-13.512,15.742,6.530,-17.119,35.688,-21.483,-19.753,-15.304,-11.387,-11.567,38.454,23.729,-44.743,-9.091,15.159,-50.887,-7.000,2.890,-23.060,-0.261,-121.316,215.580
83744.978,300.468,0.971,9.882,47.406,-0.085,-13.728,15.407,6.423,-16.492,35.904,-21.587,-18.899,-14.448,-11.387,-11.880,38.560,22.559,-42.757,-8.150,14.744,-53.363,-7.000,2.986,-22.958,-0.264,-121.349,215.590
83736.922,300.471,0.971,9.899,47.564,0.235,-15.566,16.636,6.102,-16.388,35.796,-20.965,-19.326,-14.341,-10.605,-13.026,39.088,23.517,-43.175,-8.673,14.225,-53.814,-7.000,3.121,-22.938,-0.266,-121.349,215.580
83740.950,300.468,0.971,9.898,47.564,-0.085,-16.755,16.301,6.851,-17.119,35.904,-20.861,-19.326,-14.234,-11.387,-10.317,36.870,24.155,-40.771,-11.494,14.432,-54.602,-7.000,3.294,-22.887,-0.268,-121.349,215.590
83732.894,300.466,0.971,9.940,47.958,-0.085,-17.187,16.077,6.744,-16.075,35.364,-21.276,-18.579,-14.983,-11.052,-11.255,37.715,24.474,-42.130,-11.181,14.121,-54.151,-7.000,3.371,-22.846,-0.271,-121.349,215.590
83744.978,300.468,0.971,9.882,47.406,0.075,-17.079,15.854,6.744,-16.284,35.688,-21.380,-19.647,-14.127,-11.387,-12.192,38.560,24.261,-43.175,-11.181,14.848,-55.052,-7.000,3.525,-22.785,-0.272,-121.349,215.590
83740.950,300.470,0.971,9.832,46.932,0.075,-17.404,16.524,6.102,-16.597,35.796,-20.965,-19.326,-14.662,-10.605,-12.297,39.299,23.729,-44.116,-10.554,15.471,-54.151,-7.000,3.641,-22.755,-0.274,-121.316,215.601
83749.006,300.470,0.971,9.906,47.643,0.235,-18.052,16.077,6.744,-17.014,35.147,-21.380,-19.753,-14.662,-11.721,-9.796,38.137,23.729,-43.384,-10.867,15.678,-53.701,-7.000,3.737,-22.724,-0.275,-121.349,215.580
83744.978,300.473,0.971,9.890,47.485,-0.085,-16.755,15.742,6.530,-16.597,35.147,-21.276,-18.686,-15.518,-11.610,-10.629,38.032,23.304,-42.966,-10.031,15.055,-53.251,-7.000,3.833,-22.674,-0.278,-121.332,215.580
83736.922,300.466,0.971,9.849,47.090,0.075,-16.323,16.077,6.851,-17.014,35.904,-21.587,-19.326,-14.555,-12.056,-10.838,37.715,24.049,-43.071,-10.136,16.094,-53.251,-7.000,3.987,-22.643,-0.280,-121.300,215.580
