%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
81888.767,300.416,0.950,9.994,47.428,-0.284,-19.995,18.980,32.330,-15.242,-3.563,-21.795,-21.141,-16.696,-11.498,-18.341,35.819,9.364,-44.116,24.910,-53.895,22.673,-8.000,-544.798,-289.718,14.557,-90.196,215.570
81892.798,300.416,0.950,10.011,47.586,-0.284,-20.751,18.868,32.330,-15.660,-2.807,-21.484,-20.074,-16.268,-11.163,-15.319,35.185,10.215,-44.534,24.282,-53.584,22.447,-8.000,-544.798,-289.718,14.557,-90.196,215.580
81892.798,300.412,0.950,10.011,47.586,-0.124,-20.319,17.864,32.544,-15.242,-2.807,-21.587,-20.074,-15.946,-11.610,-15.214,37.932,8.619,-45.266,24.701,-53.481,21.770,-8.000,-544.798,-289.718,14.557,-90.179,215.570
81888.767,300.412,0.950,9.994,47.428,-0.284,-20.860,19.538,31.474,-15.344,-2.807,-22.314,-19.860,-16.589,-11.610,-15.006,37.932,10.854,-45.580,23.340,-53.688,21.545,-8.000,-544.798,-289.718,14.557,-90.179,215.570
81896.829,300.411,0.950,9.994,47.428,-0.124,-20.211,19.427,32.437,-15.448,-3.131,-21.587,-21.035,-16.375,-12.056,-13.339,37.826,9.364,-46.102,23.236,-53.481,22.898,-8.000,-544.798,-289.718,14.557,-90.163,215.590
81900.861,300.417,0.950,9.994,47.428,-0.124,-19.887,19.092,32.223,-15.553,-3.347,-22.314,-20.714,-17.338,-12.168,-13.964,37.932,8.194,-47.252,23.236,-52.548,22.785,-8.000,-544.798,-289.718,14.557,-90.163,215.580
81892.798,300.414,0.950,10.019,47.665,-0.124,-19.238,17.864,32.223,-15.657,-3.131,-22.417,-20.501,-16.696,-11.498,-14.381,37.932,7.449,-47.148,24.282,-51.408,23.237,-8.000,-544.798,-289.718,14.557,-90.179,215.580
81884.735,300.414,0.950,9.995,47.428,-0.284,-19.454,19.092,31.260,-15.031,-2.915,-22.314,-20.821,-16.268,-10.717,-13.443,36.241,7.661,-47.148,24.596,-49.957,23.913,-8.000,-544.798,-289.718,14.557,-90.196,215.590
81892.798,300.414,0.950,9.978,47.270,-0.124,-18.049,18.310,32.009,-16.179,-2.915,-21.795,-21.248,-16.803,-11.385,-13.443,36.558,7.129,-45.998,24.073,-49.128,24.252,-8.000,-544.798,-289.718,14.557,-90.179,215.570
81884.735,300.414,0.950,9.986,47.349,0.037,-17.509,18.087,32.009,-15.344,-2.915,-22.210,-20.394,-17.338,-11.162,-13.026,35.924,7.236,-45.580,25.957,-48.091,24.590,-8.000,-544.798,-289.718,14.557,-90.179,215.570
81888.767,300.412,0.950,9.986,47.349,-0.124,-16.212,17.975,32.116,-15.031,-3.347,-21.795,-20.928,-16.160,-11.720,-13.339,36.025,7.449,-45.057,26.480,-46.018,24.590,-8.000,-544.798,-289.718,14.557,-90.179,215.570
81896.829,300.411,0.950,9.986,47.349,-0.284,-15.888,19.092,30.938,-16.179,-2.483,-22.314,-20.714,-16.910,-10.827,-15.110,36.341,7.768,-44.325,27.213,-44.567,25.605,-8.000,-544.798,-289.718,14.557,-90.212,215.570
81888.767,300.412,0.950,9.994,47.428,-0.284,-15.131,18.757,32.223,-15.970,-2.483,-21.483,-21.035,-16.482,-10.269,-15.319,36.025,7.662,-42.966,26.690,-44.153,25.605,-8.000,-544.798,-289.718,14.557,-90.179,215.570
81892.798,300.411,0.950,9.986,47.349,0.037,-14.375,18.645,31.902,-15.866,-3.671,-21.691,-20.180,-17.231,-10.938,-15.735,35.074,8.194,-42.548,27.527,-43.842,25.267,-8.000,-544.798,-289.718,14.557,-90.212,215.580
81900.861,300.411,0.950,9.994,47.428,0.197,-13.510,17.752,31.688,-15.762,-2.807,-21.795,-20.501,-16.482,-12.166,-16.778,35.919,8.194,-41.921,27.632,-42.391,25.267,-8.000,-544.798,-289.718,14.557,-90.196,215.590
81888.767,300.411,0.950,9.994,47.428,0.037,-13.618,17.975,31.153,-15.657,-2.915,-21.795,-20.501,-16.160,-10.492,-19.279,35.919,8.194,-42.130,26.585,-42.702,25.380,-8.000,-544.798,-289.718,14.557,-90.179,215.580
81892.798,300.411,0.950,10.002,47.507,-0.284,-13.080,18.198,32.009,-16.075,-2.807,-21.795,-20.394,-16.053,-10.492,-19.279,36.341,7.874,-41.712,26.376,-41.562,26.282,-8.000,-544.798,-289.718,14.557,-90.163,215.601
81892.798,300.411,0.950,9.986,47.349,-0.124,-12.755,17.640,31.367,-15.448,-3.239,-22.002,-20.074,-16.696,-11.162,-19.487,36.658,7.342,-41.921,26.794,-41.665,25.831,-8.000,-544.798,-289.718,14.557,-90.179,215.580
81880.704,300.414,0.950,10.003,47.507,-0.284,-11.999,17.640,31.795,-15.553,-2.591,-21.899,-20.394,-15.732,-11.943,-18.132,35.708,7.342,-41.189,27.108,-40.214,25.267,-8.000,-544.798,-289.718,14.557,-90.179,215.580
81900.861,300.409,0.950,9.985,47.349,0.037,-11.566,17.529,30.831,-16.284,-3.023,-21.691,-20.287,-16.589,-11.385,-17.403,35.285,7.662,-41.189,27.004,-39.903,25.380,-8.000,-544.798,-289.718,14.557,-90.196,215.570
81896.829,300.409,0.950,9.986,47.349,-0.124,-10.810,17.305,31.367,-16.388,-3.131,-21.691,-20.821,-16.375,-11.608,-17.715,34.968,8.087,-40.248,26.585,-39.800,25.267,-8.000,-544.798,-289.718,14.557,-90.163,215.580
81900.861,300.407,0.950,9.985,47.349,0.197,-10.485,17.305,31.474,-15.762,-3.779,-21.691,-19.860,-16.589,-11.050,-19.487,35.602,7.874,-40.039,27.946,-40.732,24.929,-8.000,-544.798,-289.718,14.557,-90.179,215.560
81896.829,300.407,0.950,9.994,47.428,-0.124,-10.702,17.417,31.581,-15.970,-2.699,-22.106,-20.287,-16.268,-12.278,-19.591,34.968,8.619,-38.471,27.108,-40.007,25.042,-8.000,-544.798,-289.718,14.557,-90.196,215.570
81896.829,300.407,0.950,9.994,47.428,-0.284,-10.485,17.194,31.153,-15.866,-2.915,-21.483,-20.607,-16.375,-11.608,-20.633,35.285,10.535,-37.530,26.794,-39.903,26.170,-8.000,-544.798,-289.718,14.557,-90.179,215.570
81892.798,300.406,0.950,10.002,47.507,0.037,-10.810,17.529,31.581,-16.284,-2.915,-22.210,-20.607,-17.017,-11.833,-21.259,35.285,10.215,-38.157,26.166,-39.800,25.944,-8.000,-544.798,-289.718,14.557,-90.163,215.580
81892.798,300.407,0.950,9.994,47.428,0.037,-9.945,16.412,31.902,-15.866,-4.103,-21.691,-20.287,-16.696,-12.726,-21.363,37.081,9.258,-38.785,26.899,-39.592,26.057,-8.000,-544.798,-289.718,14.557,-90.179,215.549
81896.829,300.403,0.950,10.010,47.586,0.037,-10.053,17.082,31.046,-16.388,-3.347,-22.625,-21.141,-16.910,-13.842,-20.946,38.137,8.938,-38.471,27.213,-38.763,25.154,-8.000,-544.798,-289.718,14.557,-90.228,215.570
81896.829,300.404,0.950,10.010,47.586,-0.124,-9.837,17.305,31.153,-16.597,-3.671,-22.417,-21.568,-17.445,-13.396,-19.279,36.553,8.938,-38.576,27.736,-38.660,26.170,-8.000,-544.798,-289.718,14.557,-90.179,215.570
81892.798,300.404,0.950,9.994,47.428,-0.284,-10.053,16.859,31.474,-16.910,-3.779,-22.314,-21.248,-17.873,-13.061,-16.986,34.651,8.300,-37.426,26.899,-37.934,25.718,-8.000,-544.798,-289.718,14.557,-90.196,215.570
81896.829,300.404,0.950,10.002,47.507,-0.284,-8.540,16.301,31.046,-16.388,-4.534,-22.106,-20.714,-17.338,-12.503,-17.715,35.496,8.619,-37.426,27.108,-38.038,25.944,-8.000,-544.798,-289.718,14.557,-90.179,215.570
81888.767,300.406,0.950,10.003,47.507,0.197,-8.540,16.970,30.938,-16.179,-3.563,-22.936,-21.355,-16.696,-11.833,-20.529,34.968,9.896,-38.366,27.632,-37.520,25.154,-8.000,-544.798,-289.718,14.557,-90.179,215.560
81892.798,300.406,0.950,9.994,47.428,0.037,-8.323,17.529,31.795,-16.492,-3.131,-22.210,-21.675,-17.338,-11.387,-22.822,35.813,9.577,-37.635,27.213,-37.416,26.170,-8.000,-544.798,-289.718,14.557,-90.179,215.560
81892.798,300.406,0.950,10.002,47.507,-0.124,-8.648,16.636,31.260,-16.388,-3.347,-22.625,-21.248,-18.087,-12.726,-21.884,35.496,9.151,-37.112,27.736,-37.105,25.944,-8.000,-544.798,-289.718,14.557,-90.212,215.570
81892.798,300.407,0.950,9.994,47.428,0.357,-7.891,16.412,30.403,-16.597,-3.455,-22.521,-21.355,-17.445,-12.726,-21.154,35.391,8.300,-37.216,27.736,-37.105,26.170,-8.000,-544.798,-289.718,14.557,-90.196,215.570
81888.767,300.406,0.950,9.994,47.428,0.037,-7.675,16.859,30.510,-16.805,-3.779,-23.144,-21.462,-18.087,-13.061,-19.591,35.708,8.406,-38.471,27.213,-36.483,25.944,-8.000,-544.798,-289.718,14.557,-90.212,215.580
81892.798,300.407,0.950,9.994,47.428,-0.124,-7.675,16.524,31.153,-17.641,-4.534,-22.625,-22.529,-18.087,-13.061,-19.383,35.496,8.406,-36.589,26.794,-36.794,25.944,-8.000,-544.798,-289.718,14.557,-90.196,215.560
81908.923,300.404,0.950,10.001,47.507,0.037,-7.999,16.747,30.724,-17.014,-4.318,-23.248,-21.568,-18.408,-13.173,-19.174,34.229,9.151,-36.589,27.632,-37.416,25.831,-8.000,-544.798,-289.718,14.557,-90.179,215.580
81896.829,300.412,0.950,9.994,47.428,0.197,-7.351,15.072,30.617,-16.805,-4.318,-22.625,-21.889,-17.231,-13.508,-20.112,33.700,9.045,-35.753,27.632,-36.898,25.042,-8.000,-544.798,-289.718,14.557,-90.179,215.580
81896.829,300.407,0.950,9.985,47.349,0.037,-8.107,16.859,30.938,-16.910,-3.995,-23.040,-21.462,-17.766,-11.721,-21.884,34.123,10.322,-37.007,27.108,-37.623,25.606,-8.000,-544.798,-289.718,14.557,-90.179,215.570
81896.829,300.407,0.950,9.985,47.349,-0.124,-9.080,16.859,31.367,-17.119,-3.671,-22.936,-21.889,-17.873,-12.168,-23.968,35.813,10.109,-37.321,26.480,-38.245,25.944,-8.000,-544.798,-289.718,14.557,-90.179,215.590
81892.798,300.409,0.950,9.986,47.349,-0.284,-8.972,16.412,31.581,-16.597,-4.103,-22.625,-21.141,-18.301,-13.061,-23.655,36.658,9.364,-37.321,27.213,-37.830,25.944,-8.000,-544.798,-289.718,14.557,-90.179,215.580
81892.798,300.407,0.950,9.994,47.428,0.357,-8.323,15.742,31.153,-16.805,-3.563,-23.455,-21.889,-17.338,-14.401,-23.134,36.870,8.619,-37.112,27.736,-37.209,25.944,-8.000,-544.798,-289.718,14.557,-90.163,215.570
81900.861,300.409,0.950,9.985,47.349,0.197,-8.215,16.970,30.617,-16.805,-3.563,-23.559,-21.355,-17.873,-12.949,-22.717,36.553,9.790,-36.589,27.422,-37.623,26.282,-8.000,-544.798,-289.718,14.557,-90.196,215.570
81888.767,300.411,0.950,10.003,47.507,-0.124,-8.107,16.077,31.688,-17.432,-4.534,-23.248,-22.209,-17.980,-13.396,-22.613,36.236,9.577,-36.171,27.213,-37.830,26.282,-8.000,-544.798,-289.718,14.557,-90.179,215.560
81892.798,300.409,0.950,9.994,47.428,0.517,-7.783,16.301,31.367,-16.910,-3.671,-23.248,-21.568,-18.515,-13.284,-21.988,36.342,9.577,-35.753,28.155,-37.830,26.170,-8.000,-544.798,-289.718,14.557,-90.179,215.580
81892.798,300.414,0.950,9.986,47.349,0.197,-7.567,16.077,30.831,-16.910,-3.671,-23.559,-22.102,-17.766,-13.619,-21.780,35.708,10.215,-36.485,28.469,-36.379,25.606,-8.000,-544.798,-289.718,14.557,-90.179,215.590
81896.829,300.411,0.950,10.019,47.665,0.037,-7.134,16.970,30.403,-17.745,-3.887,-23.559,-22.102,-18.194,-12.726,-21.988,36.025,10.215,-36.171,28.469,-36.794,26.621,-8.000,-544.798,-289.718,14.557,-90.179,215.570
81896.829,300.409,0.950,9.994,47.428,-0.284,-7.242,16.636,31.688,-17.745,-3.779,-23.352,-22.102,-18.301,-13.061,-22.092,35.708,9.577,-36.798,26.794,-36.794,26.282,-8.000,-544.798,-289.718,14.557,-90.179,215.580
81892.798,300.412,0.950,10.002,47.507,0.197,-7.026,16.189,31.367,-16.910,-4.426,-22.936,-22.316,-18.622,-12.503,-22.717,35.813,9.683,-36.589,27.736,-37.209,25.831,-8.000,-544.798,-289.718,14.557,-90.163,215.580
